DateTime_start,DateTime_end,Sequence,DateTime_start_sequence,DateTime_end_sequence,Scenario_actual,outlier
2021-03-02T10:42:30Z,2021-03-02T10:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T10:52:30Z,2021-03-02T10:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T11:02:30Z,2021-03-02T11:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T11:12:30Z,2021-03-02T11:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T11:22:30Z,2021-03-02T11:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T11:32:30Z,2021-03-02T11:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T11:42:30Z,2021-03-02T11:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T11:52:30Z,2021-03-02T11:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T12:02:30Z,2021-03-02T12:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T12:12:30Z,2021-03-02T12:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T12:22:30Z,2021-03-02T12:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T12:32:30Z,2021-03-02T12:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T12:42:30Z,2021-03-02T12:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T12:52:30Z,2021-03-02T12:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T13:02:30Z,2021-03-02T13:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T13:12:30Z,2021-03-02T13:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T13:22:30Z,2021-03-02T13:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
