waveLength(nm);irradiance(microW/cm2/nm)
793,21;-9,483
793,6;-9,539
793,99;-9,601
794,38;-9,671
794,77;-9,743
795,16;-9,816
795,54;-9,866
795,93;-9,921
796,32;-9,996
796,71;-10,057
797,1;-10,101
797,49;-10,161
797,87;-10,217
798,26;-10,296
798,65;-10,357
799,04;-10,419
799,43;-10,497
799,81;-10,571
800,2;-10,641
