Date;Conditions;X;Y;Z - 21 cm;Z - 51 cm;Z - 81 cm;Z - 111cm;Z - 105.4cm
02/02/2021;noFelt;40;19,2;379;315;253;203;
02/02/2021;noFelt;40;20,8;409;326;253;212;
02/02/2021;noFelt;40;22,4;431;339;264;208;
02/02/2021;noFelt;40;24;440;338;264;208;
02/02/2021;noFelt;40;25,6;483;354;267;217;
02/02/2021;noFelt;40;27,2;511;370;281;216;
02/02/2021;noFelt;40;28,8;515;360;270;216;
02/02/2021;noFelt;40;30,4;558;375;273;219;
02/02/2021;noFelt;40;32;568;379;278;214;
02/02/2021;noFelt;40;33,6;583;375;272;219;
02/02/2021;noFelt;40;35,2;624;389;278;219;
02/02/2021;noFelt;40;36,8;631;393;280;215;
02/02/2021;noFelt;40;38,4;647;390;275;221;
02/02/2021;noFelt;40;40;687;407;284;219;
02/02/2021;noFelt;40;41,6;681;406;284;217;
02/02/2021;noFelt;40;43,2;706;409;284;227;
02/02/2021;noFelt;40;44,8;722;421;288;219;
02/02/2021;noFelt;40;46,4;712;418;286;221;
02/02/2021;noFelt;40;48;734;424;289;229;
02/02/2021;noFelt;40;49,6;733;433;295;220;
02/02/2021;noFelt;40;51,2;713;425;289;224;
02/02/2021;noFelt;40;52,8;723;425;287;228;
02/02/2021;noFelt;40;54,4;733;439;295;222;
02/02/2021;noFelt;40;56;695;421;283;221;
02/02/2021;noFelt;40;57,6;727;432;291;227;
02/02/2021;noFelt;40;59,2;732;443;299;222;
02/02/2021;noFelt;40;60,8;699;422;286;224;
02/02/2021;noFelt;40;62,4;717;428;288;221;
02/02/2021;noFelt;40;64;722;439;297;221;
02/02/2021;noFelt;40;65,6;712;429;289;228;
02/02/2021;noFelt;40;67,2;734;437;293;222;
02/02/2021;noFelt;40;68,8;721;434;295;221;
02/02/2021;noFelt;40;70,4;732;436;295;231;
02/02/2021;noFelt;40;72;741;440;298;222;
02/02/2021;noFelt;40;73,6;714;429;292;221;
02/02/2021;noFelt;40;75,2;721;429;291;227;
02/02/2021;noFelt;40;76,8;721;433;295;218;
02/02/2021;noFelt;40;78,4;701;430;295;227;
02/02/2021;noFelt;40;80;680;418;288;221;
02/02/2021;noFelt;40;81,6;678;431;297;219;
02/02/2021;noFelt;40;83,2;636;412;288;222;
02/02/2021;noFelt;40;84,8;614;402;281;215;
02/02/2021;noFelt;40;86,4;598;407;288;212;
02/02/2021;noFelt;40;88;556;389;275;214;
02/02/2021;noFelt;40;89,6;538;386;275;208;
02/02/2021;noFelt;40;91,2;519;389;280;208;
02/02/2021;noFelt;40;92,8;496;381;276;215;
02/02/2021;noFelt;40;94,4;479;379;277;208;
02/02/2021;noFelt;40;96;455;380;278;207;
02/02/2021;noFelt;40;97,6;427;366;270;207;
02/02/2021;noFelt;40;99,2;417;366;274;200;
02/02/2021;noFelt;40;100,8;394;362;271;201;
02/02/2021;noFelt;40;102,4;374;351;266;199;
02/02/2021;noFelt;50;1,6;122;278;241;193;
02/02/2021;noFelt;50;3,2;144;272;233;198;
02/02/2021;noFelt;50;4,8;192;277;241;199;
02/02/2021;noFelt;50;6,4;214;290;248;195;
02/02/2021;noFelt;50;8;231;281;240;202;
02/02/2021;noFelt;50;9,6;263;288;246;199;
02/02/2021;noFelt;50;11,2;279;294;246;196;
02/02/2021;noFelt;50;12,8;306;293;244;203;
02/02/2021;noFelt;50;14,4;335;310;257;203;
02/02/2021;noFelt;50;16;335;309;247;202;
02/02/2021;noFelt;50;17,6;366;311;250;211;
02/02/2021;noFelt;50;19,2;379;325;258;205;
02/02/2021;noFelt;50;20,8;393;334;256;210;
02/02/2021;noFelt;50;22,4;424;334;261;212;
02/02/2021;noFelt;50;24;442;353;270;208;
02/02/2021;noFelt;50;25,6;461;356;267;218;
02/02/2021;noFelt;50;27,2;510;365;280;220;
02/02/2021;noFelt;50;28,8;512;376;276;214;
02/02/2021;noFelt;50;30,4;531;372;271;223;
02/02/2021;noFelt;50;32;573;377;281;217;
02/02/2021;noFelt;50;33,6;577;392;277;216;
02/02/2021;noFelt;50;35,2;600;383;275;223;
02/02/2021;noFelt;50;36,8;635;393;284;217;
02/02/2021;noFelt;50;38,4;632;406;278;220;
02/02/2021;noFelt;50;40;658;401;281;223;
02/02/2021;noFelt;50;41,6;686;412;290;218;
02/02/2021;noFelt;50;43,2;688;425;286;227;
02/02/2021;noFelt;50;44,8;701;411;286;223;
02/02/2021;noFelt;50;46,4;718;428;294;221;
02/02/2021;noFelt;50;48;711;436;291;231;
02/02/2021;noFelt;50;49,6;724;422;292;224;
02/02/2021;noFelt;50;51,2;720;436;295;223;
02/02/2021;noFelt;50;52,8;704;437;289;230;
02/02/2021;noFelt;50;54,4;722;429;295;226;
02/02/2021;noFelt;50;56;704;429;292;219;
02/02/2021;noFelt;50;57,6;705;439;291;231;
02/02/2021;noFelt;50;59,2;730;432;298;225;
02/02/2021;noFelt;50;60,8;705;435;292;223;
02/02/2021;noFelt;50;62,4;696;431;286;226;
02/02/2021;noFelt;50;64;726;430;298;222;
02/02/2021;noFelt;50;65,6;717;443;297;228;
02/02/2021;noFelt;50;67,2;713;432;291;227;
02/02/2021;noFelt;50;68,8;732;428;297;221;
02/02/2021;noFelt;50;70,4;735;451;300;234;
02/02/2021;noFelt;50;72;727;430;294;226;
02/02/2021;noFelt;50;73,6;727;425;297;220;
02/02/2021;noFelt;50;75,2;718;441;296;232;
02/02/2021;noFelt;50;76,8;709;421;293;222;
02/02/2021;noFelt;50;78,4;718;429;302;225;
02/02/2021;noFelt;50;80;677;425;289;226;
02/02/2021;noFelt;50;81,6;679;417;293;221;
02/02/2021;noFelt;50;83,2;654;418;293;222;
02/02/2021;noFelt;50;84,8;613;409;283;219;
02/02/2021;noFelt;50;86,4;604;395;284;212;
02/02/2021;noFelt;50;88;573;395;282;214;
02/02/2021;noFelt;50;89,6;540;388;275;212;
02/02/2021;noFelt;50;91,2;532;377;280;207;
02/02/2021;noFelt;50;92,8;515;392;283;216;
02/02/2021;noFelt;50;94,4;482;382;276;211;
02/02/2021;noFelt;50;96;470;368;281;205;
02/02/2021;noFelt;50;97,6;448;375;276;209;
02/02/2021;noFelt;50;99,2;422;364;271;202;
02/02/2021;noFelt;50;100,8;413;354;276;199;
02/02/2021;noFelt;50;102,4;392;362;269;202;
02/02/2021;noFelt;60;1,6;125;274;238;192;
02/02/2021;noFelt;60;3,2;149;267;235;195;
02/02/2021;noFelt;60;4,8;188;276;235;199;
02/02/2021;noFelt;60;6,4;225;284;247;194;
02/02/2021;noFelt;60;8;236;277;241;200;
02/02/2021;noFelt;60;9,6;259;286;239;199;
02/02/2021;noFelt;60;11,2;291;289;247;194;
02/02/2021;noFelt;60;12,8;306;290;243;202;
02/02/2021;noFelt;60;14,4;335;310;250;203;
02/02/2021;noFelt;60;16;355;305;249;199;
02/02/2021;noFelt;60;17,6;366;309;247;210;
02/02/2021;noFelt;60;19,2;389;324;253;204;
02/02/2021;noFelt;60;20,8;418;326;258;208;
02/02/2021;noFelt;60;22,4;426;331;255;212;
02/02/2021;noFelt;60;24;462;351;268;207;
02/02/2021;noFelt;60;25,6;495;351;268;215;
02/02/2021;noFelt;60;27,2;518;365;272;219;
02/02/2021;noFelt;60;28,8;552;373;277;212;
02/02/2021;noFelt;60;30,4;569;367;270;220;
02/02/2021;noFelt;60;32;585;379;273;217;
02/02/2021;noFelt;60;33,6;627;388;279;214;
02/02/2021;noFelt;60;35,2;633;381;272;221;
02/02/2021;noFelt;60;36,8;648;395;279;216;
02/02/2021;noFelt;60;38,4;691;400;279;217;
02/02/2021;noFelt;60;40;688;396;276;222;
02/02/2021;noFelt;60;41,6;705;415;287;217;
02/02/2021;noFelt;60;43,2;745;420;288;223;
02/02/2021;noFelt;60;44,8;722;409;280;222;
02/02/2021;noFelt;60;46,4;740;428;293;219;
02/02/2021;noFelt;60;48;769;428;290;228;
02/02/2021;noFelt;60;49,6;736;421;285;223;
02/02/2021;noFelt;60;51,2;748;437;295;220;
02/02/2021;noFelt;60;52,8;766;432;291;227;
02/02/2021;noFelt;60;54,4;742;425;286;225;
02/02/2021;noFelt;60;56;734;432;290;216;
02/02/2021;noFelt;60;57,6;765;435;291;229;
02/02/2021;noFelt;60;59,2;744;430;290;224;
02/02/2021;noFelt;60;60,8;741;435;292;219;
02/02/2021;noFelt;60;62,4;747;426;285;225;
02/02/2021;noFelt;60;64;736;430;288;220;
02/02/2021;noFelt;60;65,6;764;441;296;225;
02/02/2021;noFelt;60;67,2;757;429;289;225;
02/02/2021;noFelt;60;68,8;739;429;289;218;
02/02/2021;noFelt;60;70,4;787;446;300;231;
02/02/2021;noFelt;60;72;760;426;289;225;
02/02/2021;noFelt;60;73,6;733;425;289;218;
02/02/2021;noFelt;60;75,2;772;435;296;229;
02/02/2021;noFelt;60;76,8;731;416;286;220;
02/02/2021;noFelt;60;78,4;728;430;297;223;
02/02/2021;noFelt;60;80;727;420;289;224;
02/02/2021;noFelt;60;81,6;694;411;286;219;
02/02/2021;noFelt;60;83,2;669;415;290;219;
02/02/2021;noFelt;60;84,8;657;402;282;218;
02/02/2021;noFelt;60;86,4;614;391;277;210;
02/02/2021;noFelt;60;88;590;394;281;212;
02/02/2021;noFelt;60;89,6;576;383;273;210;
02/02/2021;noFelt;60;91,2;536;375;272;205;
02/02/2021;noFelt;60;92,8;533;389;282;215;
02/02/2021;noFelt;60;94,4;512;378;274;210;
02/02/2021;noFelt;60;96;473;367;273;204;
02/02/2021;noFelt;60;97,6;461;372;277;209;
02/02/2021;noFelt;60;99,2;441;359;268;203;
02/02/2021;noFelt;60;100,8;411;351;270;199;
02/02/2021;noFelt;60;102,4;402;358;270;205;
02/02/2021;noFelt;70;1,6;113;263;226;189;
02/02/2021;noFelt;70;3,2;139;257;231;196;
02/02/2021;noFelt;70;4,8;177;262;231;192;
02/02/2021;noFelt;70;6,4;203;274;233;193;
02/02/2021;noFelt;70;8;226;266;239;198;
02/02/2021;noFelt;70;9,6;246;273;232;193;
02/02/2021;noFelt;70;11,2;270;279;236;194;
02/02/2021;noFelt;70;12,8;302;278;243;198;
02/02/2021;noFelt;70;14,4;318;295;240;197;
02/02/2021;noFelt;70;16;336;292;241;201;
02/02/2021;noFelt;70;17,6;367;293;246;204;
02/02/2021;noFelt;70;19,2;372;308;241;200;
02/02/2021;noFelt;70;20,8;402;312;254;208;
02/02/2021;noFelt;70;22,4;428;315;252;205;
02/02/2021;noFelt;70;24;440;336;253;205;
02/02/2021;noFelt;70;25,6;486;337;267;214;
02/02/2021;noFelt;70;27,2;514;348;265;212;
02/02/2021;noFelt;70;28,8;519;359;264;212;
02/02/2021;noFelt;70;30,4;565;353;270;216;
02/02/2021;noFelt;70;32;581;361;263;211;
02/02/2021;noFelt;70;33,6;594;372;269;215;
02/02/2021;noFelt;70;35,2;637;365;271;215;
02/02/2021;noFelt;70;36,8;644;377;266;212;
02/02/2021;noFelt;70;38,4;657;386;275;217;
02/02/2021;noFelt;70;40;698;381;274;215;
02/02/2021;noFelt;70;41,6;692;395;272;213;
02/02/2021;noFelt;70;43,2;715;404;285;223;
02/02/2021;noFelt;70;44,8;732;391;276;215;
02/02/2021;noFelt;70;46,4;721;410;277;217;
02/02/2021;noFelt;70;48;743;413;289;225;
02/02/2021;noFelt;70;49,6;749;400;278;216;
02/02/2021;noFelt;70;51,2;726;418;281;220;
02/02/2021;noFelt;70;52,8;734;415;288;223;
02/02/2021;noFelt;70;54,4;751;407;281;217;
02/02/2021;noFelt;70;56;706;411;276;217;
02/02/2021;noFelt;70;57,6;734;417;288;223;
02/02/2021;noFelt;70;59,2;744;412;281;218;
02/02/2021;noFelt;70;60,8;701;416;279;220;
02/02/2021;noFelt;70;62,4;724;407;281;217;
02/02/2021;noFelt;70;64;732;410;278;216;
02/02/2021;noFelt;70;65,6;718;422;286;223;
02/02/2021;noFelt;70;67,2;746;410;284;217;
02/02/2021;noFelt;70;68,8;731;408;277;216;
02/02/2021;noFelt;70;70,4;741;428;293;227;
