Date;Plant;X;Y;Z_Tip-105.4cm;Z_Tip-91.5cm
03/05/2021;P2;-28;86,4;132;
03/05/2021;P2;-28;88;125;
03/05/2021;P2;-28;89,6;113;
03/05/2021;P2;-28;91,2;103;
03/05/2021;P2;-28;92,8;109;
03/05/2021;P2;-28;94,4;102;
03/05/2021;P2;-28;96;98;
03/05/2021;P2;-28;97,6;100;
03/05/2021;P2;-28;99,2;96;
03/05/2021;P2;-28;100,8;102;
03/05/2021;P2;-28;102,4;108;
03/05/2021;P2;-23;1,6;145;
03/05/2021;P2;-23;3,2;143;
03/05/2021;P2;-23;4,8;149;
03/05/2021;P2;-23;6,4;150;
03/05/2021;P2;-23;8;146;
03/05/2021;P2;-23;9,6;150;
03/05/2021;P2;-23;11,2;147;
03/05/2021;P2;-23;12,8;148;
03/05/2021;P2;-23;14,4;155;
03/05/2021;P2;-23;16;150;
03/05/2021;P2;-23;17,6;155;
03/05/2021;P2;-23;19,2;158;
03/05/2021;P2;-23;20,8;155;
03/05/2021;P2;-23;22,4;156;
03/05/2021;P2;-23;24;151;
03/05/2021;P2;-23;25,6;145;
03/05/2021;P2;-23;27,2;148;
03/05/2021;P2;-23;28,8;140;
03/05/2021;P2;-23;30,4;135;
03/05/2021;P2;-23;32;136;
03/05/2021;P2;-23;33,6;135;
03/05/2021;P2;-23;35,2;139;
03/05/2021;P2;-23;36,8;140;
03/05/2021;P2;-23;38,4;135;
03/05/2021;P2;-23;40;134;
03/05/2021;P2;-23;41,6;120;
03/05/2021;P2;-23;43,2;114;
03/05/2021;P2;-23;44,8;106;
03/05/2021;P2;-23;46,4;100;
03/05/2021;P2;-23;48;89;
03/05/2021;P2;-23;49,6;84;
03/05/2021;P2;-23;51,2;79;
03/05/2021;P2;-23;52,8;77;
03/05/2021;P2;-23;54,4;77;
03/05/2021;P2;-23;56;71;
03/05/2021;P2;-23;57,6;89;
03/05/2021;P2;-23;59,2;97;
03/05/2021;P2;-23;60,8;87;
03/05/2021;P2;-23;62,4;89;
03/05/2021;P2;-23;64;104;
03/05/2021;P2;-23;65,6;110;
03/05/2021;P2;-23;67,2;113;
03/05/2021;P2;-23;68,8;105;
03/05/2021;P2;-23;70,4;107;
03/05/2021;P2;-23;72;117;
03/05/2021;P2;-23;73,6;120;
03/05/2021;P2;-23;75,2;124;
03/05/2021;P2;-23;76,8;129;
03/05/2021;P2;-23;78,4;131;
03/05/2021;P2;-23;80;138;
03/05/2021;P2;-23;81,6;131;
03/05/2021;P2;-23;83,2;121;
03/05/2021;P2;-23;84,8;111;
03/05/2021;P2;-23;86,4;101;
03/05/2021;P2;-23;88;98;
03/05/2021;P2;-23;89,6;99;
